CustomerKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,Age,LastToPresent,CountOrder,TotalAmount,Education,Occupation
11043,1,1,60000,0,32,163,3,47.980000000000004,2,4
11044,1,1,20000,2,59,81,7,6515.299999999999,0,0
11045,0,1,30000,3,58,91,4,114.96000000000001,1,4
11046,1,0,30000,3,58,77,6,6616.8099999999995,1,4
11047,1,0,30000,3,58,70,4,6582.33,1,4
11048,1,1,30000,3,57,34,8,6498.24,1,4
11049,0,0,40000,0,28,91,5,81.26,0,0
11050,1,1,30000,3,56,70,6,5007.3,1,4
11051,0,1,30000,3,57,27,5,123.95,1,4
11052,0,0,40000,2,57,246,7,8131.32,2,0
11053,1,0,60000,0,27,376,2,2329.9799999999996,2,4
11054,1,0,40000,2,56,243,6,8223.02,2,4
11055,1,1,40000,2,56,235,8,8168.009999999999,2,4
11056,1,0,40000,3,55,242,8,8207.5,2,4
11057,1,1,70000,2,43,252,4,8088.04,4,1
11058,1,1,80000,2,48,238,6,8248.019999999999,2,4
11059,0,0,80000,2,54,318,7,116.93,2,4
11060,1,1,80000,2,54,217,6,8153.0199999999995,2,4
11061,1,1,80000,2,37,228,6,8129.0199999999995,2,4
11062,1,1,40000,0,32,386,3,2351.9599999999996,1,4
11063,0,0,40000,0,33,381,5,2372.95,1,4
11064,1,1,40000,0,32,368,2,2304.9799999999996,1,4
11065,1,0,60000,0,34,18,5,202.57,2,4
11066,1,0,70000,0,34,131,5,81.26,2,3
11067,0,1,60000,0,31,16,6,105.75,2,3
11068,0,0,80000,2,47,112,9,113.36,1,4
11069,0,0,80000,2,47,238,3,8104.049999999999,1,4
11070,1,1,80000,2,53,216,10,8165.55,1,4
11071,0,0,80000,2,53,58,7,110.23,1,4
11072,0,0,80000,2,53,227,7,8194.0,1,4
11073,0,0,70000,2,51,160,10,191.9,1,4
11074,0,1,70000,2,51,246,7,94.19,1,4
11075,0,0,80000,2,50,218,5,8068.03,1,3
11076,0,1,80000,2,51,221,4,8159.039999999999,1,3
11077,0,0,80000,2,50,230,5,8169.03,1,3
11078,0,0,40000,0,29,0,31,913.27,1,3
11079,0,1,160000,0,43,27,5,57.95,4,1
11080,1,1,170000,0,49,219,7,8204.019999999999,4,1
11081,1,0,120000,2,42,290,5,104.26,3,1
11082,0,0,130000,0,42,83,6,3110.81,4,1
11083,1,0,130000,0,36,81,5,3137.3199999999997,4,1
11084,0,1,80000,2,50,68,5,3078.6099999999997,0,4
11085,0,0,60000,2,51,20,5,128.96,1,3
11086,1,1,70000,2,50,38,6,153.45000000000002,2,3
11087,1,0,70000,3,50,172,4,200.28,2,3
11088,1,1,80000,2,50,77,7,3176.7799999999997,3,1
11089,0,0,80000,2,51,71,7,3188.2799999999997,3,1
11090,0,1,90000,2,45,68,6,6704.08,2,3
11091,1,1,90000,2,51,20,59,1189.33,2,3
11092,1,0,90000,2,41,221,5,8110.0199999999995,3,3
11093,1,0,100000,0,35,234,7,8180.0,4,1
11094,0,1,70000,1,46,17,8,235.89000000000001,2,4
11095,0,1,70000,1,45,217,7,8158.009999999999,2,4
11096,1,1,60000,1,46,182,4,8063.039999999999,3,3
11097,1,1,60000,1,41,188,5,8099.03,2,4
11098,0,0,60000,1,47,104,4,88.96,2,4
11099,1,1,60000,1,47,211,9,8215.99,3,3
11100,0,0,60000,1,47,174,7,8172.509999999999,2,4
11101,0,0,70000,0,43,213,7,8262.52,3,3
11102,0,0,80000,5,43,50,5,102.91,3,3
11103,0,0,70000,0,32,236,8,8182.5,3,3
11104,1,1,70000,0,38,227,6,8173.03,3,3
11105,0,0,70000,0,43,237,5,8095.99,3,3
11106,0,1,70000,0,43,227,3,8079.049999999999,3,3
11107,1,0,90000,1,37,221,6,8171.009999999999,3,3
11108,0,0,70000,0,45,219,5,8124.04,3,3
11109,0,1,70000,0,33,218,8,8245.01,3,3
11110,1,1,60000,1,46,161,5,8093.03,2,4
11111,1,0,60000,1,46,159,8,8136.999999999999,2,4
11112,1,0,60000,1,45,148,6,8295.02,2,4
11113,1,1,70000,5,40,282,7,109.88000000000001,3,3
11114,0,0,70000,5,46,33,7,122.89,2,4
11115,1,1,70000,5,46,26,6,113.71000000000001,2,4
11116,1,1,70000,5,34,104,7,148.7,2,4
11117,1,0,70000,5,47,217,8,8184.99,2,4
11118,0,1,80000,1,51,2,8,123.80000000000001,2,4
11119,0,1,30000,2,73,66,4,85.22,2,0
11120,0,0,40000,2,72,131,10,8242.49,3,1
11121,1,1,70000,5,47,85,6,58.16,2,4
11122,1,1,70000,5,48,159,3,42.92999999999999,2,4
11123,1,1,70000,5,48,3,8,149.84,2,4
11124,0,1,80000,1,45,224,6,8129.0199999999995,2,4
11125,0,0,70000,1,52,209,7,79.69,2,4
11126,1,1,10000,2,59,86,8,4972.37,1,4
11127,1,0,40000,0,32,119,3,43.980000000000004,1,4
11128,1,0,40000,0,32,169,7,143.94,1,4
11129,0,0,40000,0,33,384,2,5873.26,1,4
11130,1,0,30000,0,28,50,2,37.29,1,4
11131,1,0,30000,0,28,5,9,165.91,1,4
11132,0,0,30000,0,27,294,6,2371.9399999999996,1,4
11133,0,0,30000,0,27,29,4,71.96000000000001,0,0
11134,0,1,10000,5,56,86,3,4911.83,1,4
11135,0,1,30000,0,28,285,3,2334.97,0,0
11136,0,0,40000,0,29,390,3,2380.47,1,4
11137,1,0,40000,0,30,8,5,202.57,1,4
11138,1,0,40000,0,29,28,4,78.97,1,4
11139,0,0,30000,2,64,103,3,83.97,2,0
11140,0,1,30000,0,31,315,2,39.99,0,0
11141,1,0,40000,0,31,122,5,113.96000000000001,1,4
11142,0,1,40000,0,30,15,36,980.77,1,4
11143,1,1,40000,0,31,40,5,48.56,1,4
11144,0,1,40000,0,28,368,3,2399.97,1,4
11145,0,0,40000,0,28,368,3,2309.97,1,4
11146,0,0,40000,2,68,135,7,112.92999999999999,3,1
11147,1,1,60000,2,69,104,7,8195.5,4,1
11148,1,1,40000,2,67,56,6,126.24000000000001,3,1
11149,1,1,40000,2,67,60,4,41.26,3,1
11150,0,1,40000,2,67,197,8,192.42000000000002,3,1
11151,0,0,60000,2,66,100,6,8087.3099999999995,4,1
11152,0,1,40000,0,32,384,1,2294.99,1,4
11153,1,0,40000,0,32,305,5,109.77,1,4
11154,0,0,40000,0,31,383,1,2319.99,2,4
11155,0,1,40000,0,32,387,1,2319.99,2,4
11156,0,0,40000,0,32,385,4,2389.97,2,4
11157,1,0,40000,0,33,139,3,41.28,1,4
11158,0,1,40000,0,32,374,3,2395.9599999999996,1,4
11159,0,0,40000,0,32,82,5,48.559999999999995,1,4
11160,0,1,40000,0,34,341,2,2322.2799999999997,2,4
11161,0,0,40000,0,34,78,6,93.95,2,4
11162,0,1,40000,0,34,344,2,2329.9799999999996,2,4
11163,1,1,40000,0,33,176,4,46.27,2,4
11164,0,1,40000,0,34,176,6,144.76,2,4
11165,1,0,60000,0,35,237,3,102.49000000000001,2,4
11166,0,0,70000,0,36,53,5,87.96000000000001,2,4
11167,0,0,80000,0,36,61,4,3126.33,3,1
11168,0,1,80000,0,40,73,7,3136.5899999999997,3,1
11169,1,1,90000,4,40,126,5,81.26,3,1
11170,1,0,90000,4,40,30,7,157.23,3,1
11171,0,1,100000,1,35,82,8,6716.55,3,1
11172,1,0,100000,1,40,17,7,128.94,3,1
11173,0,0,110000,0,40,35,3,102.49000000000001,4,1
11174,1,1,110000,0,41,187,5,48.56,4,1
11175,0,1,70000,0,45,86,8,6710.55,2,4
11176,1,1,90000,4,35,1,60,1320.01,3,1
11177,1,1,110000,2,66,106,6,135.25,4,1
11178,1,1,100000,2,59,247,6,144.76,4,1
11179,1,0,120000,2,54,19,6,125.44,4,1
11180,1,0,160000,1,65,125,6,138.45,3,1
11181,1,1,170000,2,54,201,3,41.28,4,1
11182,0,0,70000,4,63,23,5,81.26,3,1
11183,0,0,70000,4,64,229,4,46.27,3,1
11184,0,0,70000,4,58,111,5,68.25,3,1
11185,0,0,70000,4,63,2,68,1616.31,3,1
11186,0,0,70000,4,64,21,3,41.28,3,1
11187,1,0,60000,4,64,175,4,107.48,4,1
11188,1,0,60000,4,63,7,5,81.26,4,1
11189,0,1,60000,4,64,357,6,5944.219999999999,4,1
11190,1,1,70000,5,64,12,4,46.269999999999996,3,1
11191,0,0,70000,5,62,83,7,6743.58,3,1
11192,1,1,60000,4,62,125,5,113.96000000000001,3,1
11193,1,1,60000,4,63,163,3,41.28,3,1
11194,1,0,60000,4,63,51,6,105.75,3,1
11195,1,0,60000,5,62,98,6,105.75,3,1
11196,1,1,60000,5,62,126,4,162.28,3,1
11197,1,0,70000,3,62,192,6,207.56,3,1
11198,0,0,70000,4,61,349,4,98.47,3,1
11199,1,0,70000,4,56,103,6,131.75,3,1
11200,1,1,70000,4,60,8,55,1463.38,3,1
11201,1,0,70000,4,60,141,6,180.94,3,1
11202,1,0,80000,5,55,129,3,73.98,3,1
11203,1,1,40000,2,54,48,32,801.77,1,3
11204,1,0,40000,2,60,79,4,77.27000000000001,1,3
11205,1,0,40000,2,60,112,2,37.29,1,3
11206,1,1,60000,2,59,243,4,77.27000000000001,2,3
11207,0,0,60000,2,60,102,4,77.27000000000001,2,3
11208,1,0,60000,2,60,133,7,134.23,3,1
11209,1,0,60000,2,60,6,2,37.29,3,1
11210,1,1,70000,4,60,144,5,70.76,2,3
11211,1,0,40000,2,53,21,33,793.5500000000001,1,3
11212,1,0,40000,2,58,11,33,827.19,1,3
11213,0,0,60000,2,59,141,4,77.27000000000001,2,3
11214,0,1,60000,2,58,70,4,162.28,2,3
11215,1,0,40000,2,52,44,32,1155.52,0,4
11216,0,0,60000,2,58,357,5,5948.24,2,3
11217,0,0,60000,2,58,348,3,5953.25,2,3
11218,0,0,60000,2,52,24,3,39.58,2,3
11219,1,1,60000,2,57,4,3,39.58,1,3
11220,1,0,60000,2,52,46,4,50.230000000000004,2,3
11221,1,1,70000,4,58,103,4,46.27,2,3
11222,1,0,80000,3,57,61,6,207.96,3,1
11223,0,0,70000,2,56,22,56,1205.38,1,3
11224,0,0,70000,2,56,56,5,6685.59,1,3
11225,1,0,60000,2,51,144,5,73.25,2,3
11226,1,0,60000,2,51,303,2,37.29,2,3
11227,0,1,60000,2,51,352,5,5910.219999999999,2,3
11228,1,0,60000,2,57,11,4,77.27000000000001,2,3
11229,0,1,70000,4,56,3,5,81.26,2,3
11230,1,0,70000,4,57,50,5,54.22,2,3
11231,1,1,60000,2,50,77,4,64.26,1,3
11232,1,0,60000,3,55,76,3,39.58,1,3
11233,1,1,70000,4,50,234,7,179.43,2,3
11234,0,0,70000,4,55,131,4,76.27000000000001,2,3
11235,1,1,70000,4,56,23,6,138.45000000000002,2,3
11236,0,1,70000,5,56,22,5,113.96000000000001,2,3
11237,0,1,130000,2,49,64,6,10566.38,3,1
11238,0,0,130000,2,50,273,9,7542.7699999999995,3,1
11239,1,0,130000,2,44,245,11,7511.549999999999,2,3
11240,1,0,160000,2,49,260,13,7586.23,2,3
11241,0,0,100000,2,39,91,25,11469.1882,2,3
11242,1,1,110000,2,50,55,12,11068.0082,2,3
11243,1,0,150000,2,50,233,12,7164.25,2,3
11244,0,0,170000,2,45,193,12,7175.75,3,1
11245,1,1,120000,3,51,48,9,10580.35,1,3
11246,1,0,120000,3,51,39,7,10575.33,1,3
11247,0,0,130000,3,52,164,12,7131.509999999999,2,3
11248,1,1,110000,3,47,198,3,38.47,2,3
11249,1,0,130000,3,47,135,11,9890.27,2,3
11250,1,0,170000,3,47,175,11,7116.25,1,3
11251,0,1,30000,4,76,102,4,2318.9599999999996,1,3
11252,0,1,90000,3,76,41,7,6685.5599999999995,4,1
11253,1,1,60000,2,64,56,30,696.61,4,1
11254,1,1,70000,4,75,45,9,203.92000000000002,4,1
11255,1,1,70000,4,75,303,5,113.96000000000001,4,1
11256,1,0,70000,4,74,104,5,81.26,4,1
11257,0,0,120000,1,75,45,6,6677.38,4,1
11258,1,1,120000,1,75,197,4,49.230000000000004,4,1
11259,1,0,100000,4,43,39,5,6770.599999999999,2,3
11260,1,0,110000,2,37,219,5,81.26,3,1
11261,1,0,130000,1,43,36,4,6650.599999999999,4,1
11262,1,0,80000,4,38,6,63,1126.82,3,1
11263,1,0,90000,5,43,49,9,6754.0599999999995,2,3
11264,0,1,90000,5,44,59,8,3182.27,2,3
11265,1,0,90000,5,44,390,3,2351.9599999999996,2,3
11266,0,0,90000,0,44,373,5,5922.23,2,3
11267,0,1,120000,4,38,386,5,5943.23,2,3
11268,1,0,130000,2,44,73,5,98.25,4,1
11269,1,1,130000,2,38,140,3,42.28,4,1
11270,1,1,130000,2,38,386,5,5984.219999999999,4,1
11271,0,0,150000,2,44,371,5,5973.24,3,1
11272,0,0,70000,4,51,380,4,5975.23,2,3
11273,1,1,90000,2,51,250,8,273.23,2,3
11274,1,1,50000,2,74,338,4,5888.24,4,1
11275,1,0,80000,4,74,381,4,5955.23,4,1
11276,1,0,80000,4,39,6,57,988.32,2,3
11277,1,1,80000,4,45,12,65,1434.99,2,3
11278,0,1,90000,0,44,390,3,5908.25,2,3
11279,1,0,90000,0,39,220,4,44.57,2,3
11280,1,1,90000,0,44,173,4,77.27000000000001,2,3
11281,0,0,110000,4,39,382,5,5921.19,3,1
11282,1,1,90000,5,46,391,6,5998.73,2,3
11283,1,1,110000,1,45,153,4,44.57,3,1
11284,1,0,110000,1,46,271,5,55.480000000000004,3,1
11285,1,1,120000,1,40,94,5,127.76,2,3
11286,1,1,170000,0,46,373,5,5954.219999999999,4,1
11287,1,1,70000,5,47,0,62,1167.07,2,3
11288,1,0,110000,1,35,160,4,77.27000000000001,3,1
11289,1,0,130000,1,41,377,5,5905.48,3,1
11290,1,0,130000,1,41,366,3,5933.25,3,1
11291,1,0,130000,1,41,374,2,5873.26,3,1
11292,0,1,150000,1,46,393,5,5910.219999999999,2,3
11293,0,1,60000,2,53,319,5,85.22,1,3
11294,1,1,60000,2,52,25,3,42.28,1,3
11295,0,0,80000,2,54,384,5,6058.25,0,4
11296,0,0,50000,2,72,364,4,5897.53,4,1
11297,0,1,70000,4,73,342,5,5948.24,4,1
11298,1,1,70000,4,73,341,5,5922.23,4,1
11299,1,1,70000,4,72,338,4,6015.24,4,1
11300,1,1,80000,5,48,28,67,1500.52,2,3
11301,1,1,80000,5,48,109,5,131.26,2,3
11302,0,1,90000,4,42,360,5,5938.19,1,3
11303,0,0,90000,4,47,339,3,5875.55,1,3
11304,1,0,100000,0,42,281,5,122.21,2,3
11305,1,1,110000,3,48,177,4,77.27000000000001,2,3
11306,1,1,110000,3,48,143,3,42.28,2,3
11307,1,1,80000,2,48,354,5,5964.219999999999,0,4
11308,1,1,60000,2,54,13,4,94.26,1,3
11309,0,0,60000,2,54,23,3,42.28,1,3
11310,0,0,70000,3,49,35,4,77.27000000000001,4,1
11311,0,0,70000,3,54,137,4,77.27000000000001,4,1
11312,0,0,70000,3,55,240,3,42.28,4,1
11313,0,1,70000,3,55,63,4,44.57,4,1
11314,0,0,70000,3,43,56,4,47.53,4,1
11315,0,0,70000,3,54,42,3,42.28,4,1
11316,1,1,60000,3,54,381,2,2349.9799999999996,4,1
11317,0,0,40000,3,50,344,2,5873.26,2,3
11318,0,0,40000,3,55,81,4,44.57,2,3
11319,1,0,70000,4,65,338,4,5930.23,4,1
11320,1,0,80000,4,71,162,5,72.21000000000001,4,1
11321,1,1,90000,5,70,245,2,37.29,3,1
11322,1,0,90000,5,70,252,4,44.57,3,1
11323,0,1,120000,2,70,363,6,6074.54,4,1
11324,1,1,90000,5,69,357,4,5945.23,3,1
11325,0,1,90000,5,69,362,7,6044.2,3,1
11326,1,1,130000,2,69,342,5,5948.24,3,1
11327,1,1,90000,5,68,361,5,5915.54,3,1
11328,1,1,90000,5,68,296,4,4718.04,3,1
11329,0,1,90000,5,68,352,2,5898.26,3,1
11330,1,1,110000,2,68,6,57,1136.3500000000001,4,1
11331,1,0,90000,4,40,4,58,1329.31,2,4
11332,0,0,10000,1,45,387,3,5754.969999999999,4,2
11333,1,0,20000,1,46,198,6,8163.3099999999995,4,0
11334,1,0,10000,1,47,185,6,8154.0199999999995,3,2
11335,1,0,10000,1,36,389,4,5744.25,3,2
11336,1,1,20000,1,40,388,5,4441.3796,4,0
11337,1,1,10000,1,46,193,8,8161.999999999999,3,2
11338,1,1,20000,1,41,394,5,5744.95,4,0
11339,0,1,20000,1,47,368,3,4379.0782,4,0
11340,1,0,10000,1,66,391,5,4413.0581999999995,4,0
11341,1,1,20000,1,71,193,8,8192.0,4,0
11342,1,1,30000,5,40,200,3,48.97,4,0
11343,1,1,10000,1,38,188,9,8221.99,3,2
11344,1,0,10000,1,51,189,7,8119.8099999999995,2,2
11345,0,0,10000,1,51,393,3,4404.0882,2,2
11346,0,0,10000,2,47,351,7,4503.048199999999,2,2
11347,1,1,10000,2,41,318,2,13.98,2,2
11348,1,1,10000,2,52,303,3,67.97,2,2
11349,1,0,10000,2,48,15,3,67.97,2,2
11350,1,0,30000,1,71,357,3,38.47,4,0
11351,0,0,20000,1,63,153,5,8068.03,3,0
11352,1,1,10000,2,68,272,2,13.98,2,2
11353,0,0,30000,1,67,173,6,8078.0199999999995,3,0
11354,1,0,20000,1,66,56,3,22.97,2,2
11355,1,1,40000,1,65,124,2,13.98,4,0
11356,0,1,10000,0,28,89,8,5069.29,2,2
11357,0,1,10000,0,29,91,5,4943.8,2,2
11358,0,0,10000,0,29,75,8,5034.78,2,2
11359,0,1,10000,0,29,55,8,4960.07,2,2
11360,0,1,10000,0,30,37,6,5025.8,2,2
11361,1,0,10000,0,31,65,4,114.96000000000001,1,2
11362,1,1,10000,0,30,126,3,77.27,1,2
11363,0,1,10000,0,30,41,5,5035.8099999999995,1,2
11364,0,0,10000,1,28,33,4,4921.82,1,2
11365,0,0,10000,1,29,37,7,5024.79,1,2
11366,1,0,20000,0,28,166,3,77.27,3,0
11367,1,1,20000,0,29,64,4,86.26,3,0
11368,0,1,10000,1,29,58,11,5106.24,1,2
11369,1,0,20000,0,30,32,4,118.96000000000001,3,0
11370,1,0,20000,0,30,119,3,79.97,3,0
11371,1,0,20000,0,30,31,2,74.98,3,0
11372,0,0,20000,0,30,45,5,4965.8099999999995,3,0
11373,1,0,30000,1,59,154,3,38.47,3,0
11374,0,1,30000,1,65,288,3,68.97,3,0
11375,1,1,30000,1,65,103,2,13.98,3,0
11376,0,1,40000,1,65,105,2,78.48,4,0
11377,1,1,30000,4,47,334,3,83.97,4,0
11378,0,0,10000,1,48,348,4,4436.3895999999995,1,2
11379,1,1,10000,1,37,336,4,4426.0581999999995,1,2
11380,0,1,20000,2,49,359,6,5837.91,2,2
11381,1,0,20000,2,43,163,5,8161.0199999999995,2,2
11382,1,1,20000,2,39,346,2,4344.0882,2,2
11383,1,0,30000,3,47,27,3,48.97,4,0
11384,1,0,30000,3,42,179,3,48.97,3,0
11385,0,1,30000,3,42,206,2,13.98,3,0
11386,1,0,30000,3,42,87,3,68.97,3,0
11387,0,0,40000,3,49,302,6,6958.799999999999,4,0
11388,1,1,40000,3,49,277,7,6986.749999999999,4,0
11389,0,1,10000,1,32,72,3,68.97,1,2
11390,0,0,10000,1,37,82,3,48.97,1,2
11391,0,0,10000,2,37,94,2,33.98,1,2
11392,0,1,10000,2,33,305,1,28.99,1,2
11393,0,1,10000,2,39,196,2,13.98,1,2
11394,0,1,10000,2,38,179,7,8161.969999999999,1,2
11395,0,0,30000,0,37,342,3,5729.969999999999,3,0
11396,1,1,10000,2,38,94,1,28.99,1,2
11397,0,0,20000,0,39,205,3,38.47,2,2
11398,0,1,30000,0,38,179,4,8114.04,3,0
11399,0,0,30000,1,39,290,2,13.98,3,0
11400,0,1,40000,0,33,193,8,6967.78,4,0
11401,1,0,40000,0,38,326,6,5020.8696,4,0
11402,1,0,40000,0,38,301,10,5059.3296,4,0
11403,0,0,40000,0,34,245,9,5033.1396,4,0
11404,0,0,10000,3,56,352,2,33.98,2,2
11405,0,0,10000,3,56,303,1,53.99,2,2
11406,1,0,20000,2,56,353,6,4415.0382,2,2
11407,1,1,20000,2,56,219,1,53.99,2,2
11408,1,1,10000,2,49,329,3,34.47,1,2
11409,0,0,10000,2,34,365,5,4444.0682,1,2
11410,1,1,20000,1,39,358,5,4464.0682,2,2
11411,1,1,80000,3,54,177,3,38.47,2,3
11412,0,0,80000,4,54,109,11,9879.96,2,3
11413,1,0,80000,4,54,145,11,7189.75,2,3
11414,0,1,80000,4,54,135,10,7191.7699999999995,2,3
11415,0,1,90000,5,64,165,2,13.98,2,3
11416,1,0,60000,3,63,268,5,4928.0581999999995,0,4
11417,1,0,70000,5,63,44,17,11248.458200000001,1,3
11418,0,1,90000,5,63,42,2,39.980000000000004,2,3
11419,1,1,150000,3,63,215,6,231.75,4,1
11420,1,1,100000,2,62,60,17,11200.7696,3,1
11421,1,0,110000,3,62,111,4,9780.04,3,1
11422,1,1,170000,4,61,86,10,7075.2699999999995,3,1
11423,1,0,80000,4,53,100,10,9904.97,2,3
11424,1,0,80000,4,49,282,2,43.980000000000004,2,3
11425,1,0,90000,4,48,38,15,10528.6282,1,3
11426,1,1,110000,3,54,294,1,34.99,3,1
11427,1,0,110000,2,54,100,9,9917.99,2,3
11428,0,0,120000,2,54,98,12,9954.26,3,1
11429,1,1,80000,4,56,35,17,10468.3796,2,3
11430,1,0,90000,4,56,315,2,84.98,1,3
11431,1,1,110000,4,39,120,11,9912.98,2,3
11432,1,0,80000,4,56,34,16,9330.1996,1,3
11433,1,1,80000,5,56,136,12,12909.6682,1,3
11434,1,1,170000,5,51,197,4,70.46000000000001,2,3
11435,0,0,100000,3,58,24,1,34.99,2,1
11436,1,0,160000,3,57,223,4,81.76,2,1
11437,1,1,90000,4,58,40,1,53.99,1,1
11438,1,0,130000,4,58,357,1,34.99,1,1
11439,1,0,90000,4,60,100,14,12489.1696,1,1
11440,1,1,80000,5,60,307,2,78.48,0,4
11441,1,0,90000,5,61,20,2,43.980000000000004,0,4
11442,1,1,90000,5,60,121,1,34.99,0,4
11443,0,0,60000,0,32,119,8,8235.0,3,3
11444,1,0,70000,0,32,240,5,8136.0199999999995,3,3
11445,0,0,70000,0,34,214,5,8098.03,3,3
11446,0,0,70000,0,33,221,7,8237.01,3,3
11447,1,0,70000,0,33,242,6,8078.0199999999995,3,3
11448,0,1,80000,0,33,221,7,8132.009999999999,3,3
11449,1,1,80000,0,33,218,7,8130.32,3,3
11450,0,1,130000,4,32,225,9,8173.259999999999,1,1
11451,0,1,70000,0,33,237,9,8249.49,3,3
11452,0,0,80000,0,34,230,5,8183.04,3,3
11453,0,1,80000,0,29,223,6,8176.98,3,3
11454,0,0,80000,0,34,224,4,8089.04,3,3
11455,1,1,100000,0,34,242,5,8142.03,1,1
11456,1,1,120000,5,34,242,11,8224.46,0,3
11457,1,0,90000,0,35,241,10,8211.48,3,3
11458,1,0,100000,0,35,10,7,96.89,1,1
11459,0,0,80000,0,35,224,5,8141.33,3,3
11460,0,1,90000,0,30,232,6,8137.5199999999995,3,3
11461,0,1,90000,0,36,191,4,8089.04,3,3
11462,1,0,110000,0,36,187,5,8116.33,1,1
11463,1,0,110000,0,36,46,4,47.92,1,1
11464,1,1,90000,0,36,211,7,8128.509999999999,3,3
11465,1,1,90000,0,37,199,4,8158.04,3,3
11466,1,1,150000,0,37,160,7,90.19,0,1
11467,1,1,170000,1,38,26,5,55.87,4,1
11468,1,0,40000,1,33,160,4,6959.82,3,4
11469,0,1,10000,0,35,172,2,25.479999999999997,0,2
11470,0,1,20000,0,34,341,2,4344.0882,0,2
11471,0,0,30000,0,34,256,1,53.99,2,0
11472,0,1,60000,3,45,94,6,8165.82,3,3
11473,0,0,20000,0,28,240,2,62.980000000000004,0,2
11474,0,1,20000,0,28,124,3,49.97,0,2
11475,0,1,30000,0,29,280,4,69.46,1,2
11476,1,0,40000,1,33,88,1,53.99,3,4
11477,0,1,30000,0,29,125,1,34.99,1,2
11478,0,1,30000,0,29,284,1,53.99,1,2
11479,1,1,40000,1,35,249,9,4970.6096,3,4
11480,1,0,40000,1,29,187,7,4935.3596,3,4
11481,1,0,40000,1,35,282,6,4978.048199999999,3,4
11482,0,0,30000,0,36,140,5,8143.03,1,2
11483,1,1,40000,1,30,193,4,4966.3896,3,4
11484,0,1,40000,2,30,304,6,4985.3796,2,0
11485,1,1,40000,2,36,138,7,7048.299999999999,2,0
11486,0,0,10000,0,31,65,1,34.99,0,2
11487,0,0,10000,0,37,44,1,53.99,0,2
11488,0,1,20000,0,36,151,5,8090.33,0,2
11489,0,0,20000,0,37,122,7,8127.509999999999,0,2
11490,0,1,20000,0,37,299,1,53.99,0,2
11491,1,1,20000,0,31,143,7,8158.009999999999,0,2
11492,0,1,30000,0,31,343,3,4404.0782,1,2
11493,0,0,40000,2,37,138,6,6958.799999999999,2,0
11494,0,1,40000,2,38,120,5,6973.8099999999995,2,0
11495,0,1,40000,2,36,94,2,13.98,2,0
11496,0,1,40000,2,37,84,7,7013.789999999999,2,0
11497,0,0,40000,2,32,85,1,34.99,2,0
11498,0,1,40000,3,34,19,30,561.53,2,0
11499,0,1,40000,3,33,213,6,192.21,2,0
11500,0,0,40000,0,33,18,30,654.27,4,4
